Idioma,Legenda,Palavra,Classe,Cor_Hex,Valida,Sugestao
PT,1,Pai,substantivo_masculino_singular,#4169E1,SIM,
PT,1,nosso,substantivo_masculino_singular,#4169E1,SIM,
PT,1,que,substantivo_masculino_singular,#4169E1,SIM,
PT,1,estais,substantivo_masculino_singular,#4169E1,SIM,
PT,1,no,substantivo_masculino_singular,#4169E1,SIM,
PT,1,"céu,",substantivo_masculino_singular,#4169E1,SIM,
PT,1,santificado,substantivo_masculino_singular,#4169E1,SIM,
PT,1,seja,substantivo_masculino_singular,#4169E1,SIM,
PT,1,o,substantivo_masculino_singular,#4169E1,SIM,
PT,1,vosso,substantivo_masculino_singular,#4169E1,SIM,
PT,1,"nome,",substantivo_masculino_singular,#4169E1,SIM,
PT,1,venha,substantivo_masculino_singular,#4169E1,SIM,
PT,1,a,substantivo_masculino_singular,#4169E1,SIM,
PT,1,nós,substantivo_masculino_singular,#4169E1,SIM,
PT,1,o,substantivo_masculino_singular,#4169E1,SIM,
PT,1,vosso,substantivo_masculino_singular,#4169E1,SIM,
PT,1,"reino,",substantivo_masculino_singular,#4169E1,SIM,
PT,1,seja,substantivo_masculino_singular,#4169E1,SIM,
PT,1,feita,substantivo_masculino_singular,#4169E1,SIM,
PT,1,a,substantivo_masculino_singular,#4169E1,SIM,
PT,1,vossa,substantivo_masculino_singular,#4169E1,SIM,
PT,1,"vontade,",substantivo_masculino_singular,#4169E1,SIM,
PT,1,assim,substantivo_masculino_singular,#4169E1,SIM,
PT,1,na,substantivo_masculino_singular,#4169E1,SIM,
PT,1,terra,substantivo_masculino_singular,#4169E1,SIM,
PT,1,como,substantivo_masculino_singular,#4169E1,SIM,
PT,1,no,substantivo_masculino_singular,#4169E1,SIM,
PT,1,céu.,substantivo_masculino_singular,#4169E1,SIM,
PT,1,O,substantivo_masculino_singular,#4169E1,SIM,
PT,1,pão,substantivo_masculino_singular,#4169E1,SIM,
PT,1,nosso,substantivo_masculino_singular,#4169E1,SIM,
PT,1,de,substantivo_masculino_singular,#4169E1,SIM,
PT,1,cada,substantivo_masculino_singular,#4169E1,SIM,
PT,1,dia,substantivo_masculino_singular,#4169E1,SIM,
PT,1,nos,substantivo_masculino_singular,#4169E1,SIM,
PT,1,dai,substantivo_masculino_singular,#4169E1,SIM,
PT,1,hoje.,substantivo_masculino_singular,#4169E1,SIM,
PT,1,Perdoai,substantivo_masculino_singular,#4169E1,SIM,
PT,1,as,substantivo_masculino_singular,#4169E1,SIM,
PT,1,nossas,substantivo_masculino_singular,#4169E1,SIM,
PT,1,"ofensas,",substantivo_masculino_singular,#4169E1,SIM,
PT,1,assim,substantivo_masculino_singular,#4169E1,SIM,
PT,1,como,substantivo_masculino_singular,#4169E1,SIM,
PT,1,nós,substantivo_masculino_singular,#4169E1,SIM,
